"WptName","GR(6)","Hill Name","Height","GridZN","GridEast","GridNorth","Latitude","Longitude","Climbed?"
"0936.m","NN660775","A' Bhuidheanach Bheag"," 936.0","NN","66059","77594","56.87034200","-4.1990010",""
"0997.M","NH136714","A' Chailleach"," 997.0","NH","13621","71416","57.69380000","-5.1287150",""
"0929.m","NH681041","A' Chailleach"," 929.2","NH","68110","04178","57.10956400","-4.1792850",""
"1120.M","NH094147","A' Chraileag (A' Chralaig)","1120.0","NH","09431","14791","57.18418600","-5.1548370",""
"0918.M","NH008231","A' Ghlas-bheinn"," 918.0","NH","00822","23105","57.25509000","-5.3036870",""
"0967.M","NH007749","A' Mhaighdean"," 967.0","NH","00776","74912","57.71964400","-5.3467200",""
"0973.m","NN604762","A' Mharconaich"," 973.2","NN","60423","76293","56.85700200","-4.2906680",""
"0934.m","NG465253","Am Basteir"," 934.0","NG","46563","25301","57.24793100","-6.2029820",""
"1032.M","NN176650","Am Bodach","1031.8","NN","17637","65097","56.74172700","-4.9833930",""
"0953.M","NH303793","Am Faochagach"," 953.0","NH","30361","79372","57.77180100","-4.8538990",""
"0996.M","NN378193","An Caisteal"," 995.8","NN","37873","19343","56.33860000","-4.6243680",""
"0924.m","NH241680","An Coileachan"," 923.9","NH","24172","68024","57.66762500","-4.9494980",""
"0981.M","NN187669","An Gearanach"," 981.4","NN","18772","66989","56.75914300","-4.9662030",""
"1129.M","NH133344","An Riabhachan","1129.0","NH","13363","34482","57.36242900","-5.1047280",""
"1007.M","NN933836","An Sgarsoch","1006.5","NN","93339","83685","56.93210900","-3.7542940",""
"1069.M","NH100332","An Socach","1069.0","NH","10061","33274","57.35022900","-5.1586030",""
"0944.M","NO079800","An Socach"," 944.0","NO","07939","80015","56.90228600","-3.5131480",""
"0921.m","NH088229","An Socach"," 921.0","NH","08817","22997","57.25753300","-5.1712930",""
"1117.m","NN638431","An Stuc","1117.1","NN","63890","43103","56.56009300","-4.2162580",""
"1063.M","NH068843","An Teallach-Bidein a' Ghlas Thuill","1062.5","NH","06896","84366","57.80709800","-5.2517670",""
"1059.m","NH064836","An Teallach-Sgurr Fiona","1058.6","NH","06406","83679","57.80072600","-5.2594430",""
"1020.M","NH051083","Aonach air Chrith","1019.5","NH","05103","08354","57.12464000","-5.2212910",""
"1234.M","NN197715","Aonach Beag","1234.0","NN","19707","71502","56.79999800","-4.9541210",""
"1116.m","NN457741","Aonach Beag","1115.8","NN","45786","74190","56.83349600","-4.5291810",""
"0952.m","NN161583","Aonach Eagach-Meall Dearg"," 952.2","NN","16124","58363","56.68072000","-5.0032710",""
