Running No,DoBIH Number,Streetmap,Geograph,Hill-bagging,Name,SMC Section,RHB Section,_Section,Height (m),Height (ft),Map 1:50,Map 1:25,Grid Ref,GridRefXY,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,Post 1997,Comments
1,1,"http://www.streetmap.co.uk/newmap.srf?x=277324&y=730857&z=3&sv=277324,730857&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NN7732430857,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1,Ben Chonzie,1,01A,1.1,931,3054,51 52,OL47W 368W 379W,NN773308,NN7732430857,277324,730857,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
2,17,"http://www.streetmap.co.uk/newmap.srf?x=262911&y=718916&z=3&sv=262911,718916&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NN6291118916,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=17,Ben Vorlich,1,01B,1.2,985,3232,57,OL46N OL47W 365N 368W,NN629189,NN6291118916,262911,718916,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
3,18,"http://www.streetmap.co.uk/newmap.srf?x=261746&y=717465&z=3&sv=261746,717465&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NN6174617465,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=18,Stuc a' Chroin,1,01B,1.2,975,3199,57,OL46N OL47W 365N 368W,NN617174,NN6174617465,261746,717465,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
4,32,"http://www.streetmap.co.uk/newmap.srf?x=236707&y=702863&z=3&sv=236707,702863&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NN3670702863,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=32,Ben Lomond,1,01C,1.3,974,3196,56,OL39S 364S,NN367028,NN3670702863,236707,702863,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
5,26,"http://www.streetmap.co.uk/newmap.srf?x=243276&y=724417&z=3&sv=243276,724417&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NN4327624417,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=26,Ben More,1,01C,1.3,1174,3852,51,OL46N 365N,NN432244,NN4327624417,243276,724417,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
6,27,"http://www.streetmap.co.uk/newmap.srf?x=243481&y=722712&z=3&sv=243481,722712&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NN4348122712,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=27,Stob Binnein,1,01C,1.3,1165,3822,51,OL46N 365N,NN434227,NN4348122712,243481,722712,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
7,28,"http://www.streetmap.co.uk/newmap.srf?x=243842&y=722052&z=3&sv=243842,722052&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NN4384222052,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=28,Stob Binnein - Stob Coire an Lochain,1,01C,1.3,1068,3504,51,OL46N 365N,NN438220,NN4384222052,243842,722052,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
8,39,"http://www.streetmap.co.uk/newmap.srf?x=244847&y=722468&z=3&sv=244847,722468&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NN4484722468,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=39,Stob Binnein - Creag a' Bhragit,1,01C,1.3,923,3028,51,OL46N 365N,NN448224,NN4484722468,244847,722468,TOP,,,,,,,,,,,
9,33,"http://www.streetmap.co.uk/newmap.srf?x=245051&y=722592&z=3&sv=245051,722592&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NN4505122592,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=33,Stob Binnein - Meall na Dige,1,01C,1.3,966,3169,51,OL46N 365N,NN450225,NN4505122592,245051,722592,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
10,29,"http://www.streetmap.co.uk/newmap.srf?x=240815&y=721112&z=3&sv=240815,721112&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NN4081521112,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=29,Cruach Ardrain SW Top,1,01C,1.3,1044.9,3428,51 56,OL39N 364N,NN408211,NN4081521112,240815,721112,TOP,MUN,MUN,MUN,MUN,MUN,,,,,,See named worksheet
